Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR10141083_2	SRR10141083_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1151192.0	0.0	35-151	47.0	75.27187321101006	145.15728827163497	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass	
SRR10141084_1	SRR10141084_1.fastq	Conventional base calls	Sanger / Illumina 1.9	670487.0	0.0	151.0	43.0	7.369568686641202	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141084_2	SRR10141084_2.fastq	Conventional base calls	Sanger / Illumina 1.9	670487.0	0.0	151.0	43.0	11.996653178957981	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	warn
SRR10141085_1	SRR10141085_1.fastq	Conventional base calls	Sanger / Illumina 1.9	3064533.0	0.0	151.0	45.0	6.845567308688941	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	
SRR10141085_2	SRR10141085_2.fastq	Conventional base calls	Sanger / Illumina 1.9	3064533.0	0.0	151.0	45.0	9.39211619293903	151.0	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail	
SRR10141086_1	SRR10141086_1.fastq	Conventional base calls	Sanger / Illumina 1.9	937688.0	0.0	151.0	45.0	8.650958527783228	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	
SRR10141086_2	SRR10141086_2.fastq	Conventional base calls	Sanger / Illumina 1.9	937688.0	0.0	151.0	45.0	10.712844928963543	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	
SRR10141087_1	SRR10141087_1.fastq	Conventional base calls	Sanger / Illumina 1.9	853793.0	0.0	151.0	45.0	7.49420526989563	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	pass
SRR10141087_2	SRR10141087_2.fastq	Conventional base calls	Sanger / Illumina 1.9	853793.0	0.0	151.0	45.0	10.7353890228662	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	pass
SRR10141088_1	SRR10141088_1.fastq	Conventional base calls	Sanger / Illumina 1.9	796806.0	0.0	151.0	48.0	8.070596857955387	151.0	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail	pass
SRR10141088_2	SRR10141088_2.fastq	Conventional base calls	Sanger / Illumina 1.9	796806.0	0.0	151.0	48.0	12.67518513175313	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	warn
SRR10141089_1	SRR10141089_1.fastq	Conventional base calls	Sanger / Illumina 1.9	705568.0	0.0	151.0	49.0	8.171997596262868	151.0	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail	pass
SRR10141089_2	SRR10141089_2.fastq	Conventional base calls	Sanger / Illumina 1.9	705568.0	0.0	151.0	49.0	12.499149621298018	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	fail	warn
